Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
renta de carros en cartagena precios,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,3,6,"0,00",COP,"0,00","50,00%","1287,67","3863,00","16,67%","100,00%"
car rental monteria,Concordancia exacta (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,1,3,"0,00",COP,"0,00","33,33%","392,00","392,00","33,33%","66,67%"
alquiler de carros en cúcuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,7,22,"0,00",COP,"0,00","31,82%","461,47","3230,27","45,00%","100,00%"
alquilar un carro por un dia,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
requisitos para alquilar un carro en medellin,Concordancia de frase,Ninguno,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
app para rentar carros,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","712,00","712,00","0,00%","100,00%"
renta autos santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,3,6,"0,00",COP,"0,00","50,00%","509,33","1528,00","33,33%","66,67%"
valledupar car rental,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de autos pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,1,4,"0,00",COP,"0,00","25,00%","1094,00","1094,00","0,00%","75,00%"
alquiler vehículos barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,4,"0,00",COP,"0,00","25,00%","1165,00","1165,00","25,00%","75,00%"
rentar caro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros en valledupar colombia,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,4,7,"1,00",COP,"2452,00","57,14%","613,00","2452,00","28,57%","85,71%"
carro en barranquilla,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentadoras de carros bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,5,"0,00",COP,"0,00","20,00%","2196,00","2196,00","0,00%","75,00%"
alquiler de carros bogota 24 horas,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler camioneta platon,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,2,"0,00",COP,"0,00","100,00%","444,00","888,00","0,00%","100,00%"
renta carro en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,2,3,"0,00",COP,"0,00","66,67%","557,00","1114,00","33,33%","100,00%"
alquiler de carros monteria,Concordancia de frase (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehículos en pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,1,2,"0,00",COP,"0,00","50,00%","783,00","783,00","50,00%","100,00%"
que vale el alquiler de un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler vehiculos economicos,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentadoras de carros bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,renta de carros bogota,1,1,"0,00",COP,"0,00","100,00%","548,00","548,00","0,00%","100,00%"
arrendamiento de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,5,"0,00",COP,"0,00","20,00%","636,00","636,00","0,00%","80,00%"
rent car medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,4,27,"0,00",COP,"0,00","14,81%","1459,75","5839,00","3,85%","65,38%"
carros en alquiler,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","295,17","295,17","100,00%","100,00%"
renta de autos economicos,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,2,3,"0,00",COP,"0,00","66,67%","920,50","1841,00","0,00%","100,00%"
renta un carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,1,"0,00",COP,"0,00","100,00%","620,00","620,00","100,00%","100,00%"
alquiler de carros cerca de mi,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
necesito rentar un carro,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,3,"0,00",COP,"0,00","33,33%","291,00","291,00","33,33%","100,00%"
alquiler de carros en armenia precios,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,2,9,"0,00",COP,"0,00","22,22%","345,00","690,00","37,50%","100,00%"
alquiler de autos en neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,8,13,"0,66",COP,"8117,52","61,54%","669,25","5354,00","41,67%","100,00%"
car rent sale,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler carros chía económicos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,3,"0,00",COP,"0,00","33,33%","468,46","468,46","0,00%","100,00%"
renta carros bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,10,27,"0,00",COP,"0,00","37,04%","479,68","4796,75","16,00%","72,00%"
remta car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arrendar carro,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros valledupar,3,5,"0,00",COP,"0,00","60,00%","440,65","1321,96","75,00%","75,00%"
costo alquiler auto por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta carro medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,3,19,"0,00",COP,"0,00","15,79%","1596,00","4788,00","0,00%","57,89%"
alquiler de vehículos por días,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","286,00","286,00","0,00%","100,00%"
alquiler de carro en bogota economico,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","75,00%"
renta auto mes,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de auto,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1557,00","1557,00","0,00%","100,00%"
renta de autos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,1,14,"0,00",COP,"0,00","7,14%","1719,00","1719,00","0,00%","35,71%"
es mas barato alquilar un coche por internet,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en montería telefono,Concordancia de frase,Ninguno,Monteria,alquiler de carros en monteria,3,2,"0,00",COP,"0,00","150,00%","180,67","542,00","50,00%","100,00%"
agencia de alquiler de autos,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arriendo diario de autos,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquilautos,Concordancia amplia,Excluido,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de 4x4,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de camionetas villavicencio,Concordancia de frase (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,2,11,"0,00",COP,"0,00","18,18%","102,35","204,69","11,11%","100,00%"
alquiler de vehiculos santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,24,"0,00",COP,"0,00","4,17%","927,00","927,00","20,00%","70,00%"
caribe drive,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro mensual,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","405,00","405,00","0,00%","100,00%"
alquiler de vehiculo en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,2,6,"0,00",COP,"0,00","33,33%","647,00","1294,00","0,00%","50,00%"
cuanto cuesta rentar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
carros exito alquiler,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilatucarro com,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rent facil,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en medellín laureles,Concordancia de frase,Ninguno,Medellin,alquiler de carros medellin,2,3,"0,00",COP,"0,00","66,67%","666,45","1332,91","0,00%","100,00%"
alquiler de carros villavicencio llanocentro,Concordancia de frase,Ninguno,Villavicencio,alquiler de carros villavicencio,1,6,"0,00",COP,"0,00","16,67%","927,00","927,00","25,00%","100,00%"
global car rental,Concordancia amplia,Excluido,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros para viajar,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,1,1,"0,00",COP,"0,00","100,00%","1444,00","1444,00","0,00%","100,00%"
alquiler de autos en bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,7,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","57,14%"
alquiler de carros,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,4,9,"0,50",COP,"4231,42","44,44%","528,93","2115,71","37,50%","100,00%"
arrendar carro en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","321,00","321,00","0,00%","100,00%"
alquiler carro santa marta económico,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,3,14,"0,00",COP,"0,00","21,43%","1603,00","4809,00","8,33%","75,00%"
alquiler de camionetas en barranquilla,Concordancia de frase (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,7,"0,00",COP,"0,00","14,29%","1266,00","1266,00","14,29%","57,14%"
renta de carros cerca de mi ubicación,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro monteria,Concordancia exacta (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,12,45,"0,00",COP,"0,00","26,67%","419,47","5033,67","21,43%","90,48%"
renta de carros medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,5,26,"0,00",COP,"0,00","19,23%","1615,20","8076,00","17,39%","65,22%"
alquiler de carros 24 horas,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de carros electricos bogota,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
alquiler de carros cerca de mi,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
car rental,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler carro cali precio,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carros,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,1,2,"0,00",COP,"0,00","50,00%","2486,00","2486,00","50,00%","50,00%"
alquiler de vehiculo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,6,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","33,33%"
alquiler carro,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,2,7,"0,00",COP,"0,00","28,57%","1021,00","2042,00","0,00%","100,00%"
que vale el alquiler de un carro en colombia,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,1,1,"0,00",COP,"0,00","100,00%","16,00","16,00","0,00%","100,00%"
alquilar un carro en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,4,"0,00",COP,"0,00","25,00%","213,00","213,00","0,00%","75,00%"
rentar carro,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rentar car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
renta carros colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros bogotá 7 pasajeros,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","521,00","521,00","0,00%","100,00%"
cuanto vale alquilar un carro en colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","1062,00","1062,00","50,00%","100,00%"
rent a car,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,4,38,"0,00",COP,"0,00","10,53%","597,00","2388,00","19,44%","91,67%"
renta carros medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros en medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler carros valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,9,13,"0,00",COP,"0,00","69,23%","614,52","5530,65","66,67%","100,00%"
ren car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","1172,00","1172,00","0,00%","100,00%"
arriendo vehiculo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de carros en bogota precios,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","656,58","656,58","0,00%","100,00%"
cuanto cuesta alquilar un carro en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,4,"0,00",COP,"0,00","25,00%","447,00","447,00","66,67%","100,00%"
coche de alquiler medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos en cucuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,2,8,"2,00",COP,"824,50","25,00%","824,50","1649,00","42,86%","100,00%"
arrendar carro medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
rentiya,Concordancia amplia,Excluido,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","891,00","891,00","100,00%","100,00%"
cuanto vale alquilar un carro en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,3,"0,00",COP,"0,00","33,33%","375,00","375,00","0,00%","100,00%"
dónde puedo alquilar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","549,00","549,00","0,00%","100,00%"
que cuesta el alquiler de un carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros,Concordancia amplia,Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
tu carro com medellín,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,1,1,"0,00",COP,"0,00","100,00%","573,33","573,33","100,00%","100,00%"
rentadora de carros,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar carro manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,3,6,"0,00",COP,"0,00","50,00%","558,33","1675,00","66,67%","100,00%"
cuanto vale alquilar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,2,"0,00",COP,"0,00","100,00%","211,72","423,43","50,00%","100,00%"
alquiler de autos en ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,3,2,"0,00",COP,"0,00","150,00%","75,67","227,00","50,00%","100,00%"
alquiler de automoviles en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,5,"0,00",COP,"0,00","20,00%","1180,00","1180,00","0,00%","80,00%"
alquiler de carros por dias,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,8,"0,00",COP,"0,00","25,00%","1378,00","2756,00","14,29%","100,00%"
alquilar carro en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler coche cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,2,10,"0,00",COP,"0,00","20,00%","491,00","982,00","10,00%","70,00%"
rent a car express,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,1,"0,00",COP,"0,00","100,00%","154,00","154,00","100,00%","100,00%"
alquiler de automóviles en manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,2,2,"0,00",COP,"0,00","100,00%","300,00","600,00","50,00%","100,00%"
